Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Afghanistan,R,Individual accomm.,Afghanistan : Dispersed in the country / territory,5805,0.04,0.32,0.16,0.52,0.45,0.03,0.5,0.5,0.5,0.5,0.51,0.5,..,0.5,5805,1.0,1.0
Afghanistan,R,Individual accomm.,Badakhshan : Wilayat - Province,1528,0.04,0.16,0.12,0.31,0.67,0.02,0.49,0.51,0.35,0.45,0.17,0.31,..,0.26,1528,1.0,1.0
Afghanistan,R,Individual accomm.,Badghis : Wilayat - Province,1036,0.1,0.24,0.16,0.5,0.47,0.03,0.56,0.51,0.49,0.51,0.42,0.23,..,0.46,1036,1.0,1.0
Afghanistan,R,Individual accomm.,Baghlan : Wilayat - Province,24222,0.09,0.28,0.16,0.53,0.43,0.03,0.48,0.49,0.47,0.48,0.5,0.37,..,0.49,24222,1.0,1.0
Afghanistan,R,Individual accomm.,Bamyan : Wilayat - Province,1973,0.07,0.19,0.15,0.42,0.53,0.05,0.59,0.48,0.46,0.49,0.47,0.39,..,0.47,1973,1.0,1.0
Afghanistan,R,Individual accomm.,Day Kundi : Wolaswalei - District,2515,0.04,0.3,0.18,0.52,0.45,0.03,0.52,0.5,0.44,0.48,0.49,0.42,..,0.48,2515,1.0,1.0
Afghanistan,R,Individual accomm.,Farah : Wilayat - Province,2772,0.15,0.27,0.17,0.58,0.39,0.03,0.5,0.47,0.51,0.49,0.51,0.43,..,0.49,2772,1.0,1.0
Afghanistan,R,Individual accomm.,Faryab : Wilayat - Province,10152,0.1,0.24,0.14,0.48,0.48,0.04,0.53,0.52,0.49,0.51,0.53,0.62,..,0.52,10152,1.0,1.0
Afghanistan,R,Individual accomm.,Ghazni : Wilayat - Province,23409,0.06,0.37,0.13,0.56,0.41,0.04,0.51,0.49,0.46,0.48,0.5,0.39,..,0.48,23409,1.0,1.0
Afghanistan,R,Individual accomm.,Hilmand : Wilayat - Province,13143,0.12,0.31,0.16,0.59,0.37,0.03,0.49,0.49,0.45,0.48,0.5,0.36,..,0.48,13143,1.0,1.0
Afghanistan,R,Individual accomm.,Jawzjan : Wilayat - Province,24689,0.09,0.23,0.14,0.46,0.49,0.05,0.5,0.51,0.51,0.5,0.5,0.59,..,0.51,24689,1.0,1.0
Afghanistan,R,Individual accomm.,Kapisa : Wilayat - Province,3395,0.1,0.25,0.17,0.53,0.45,0.03,0.5,0.49,0.49,0.49,0.48,0.3,..,0.48,3395,1.0,1.0
Afghanistan,R,Individual accomm.,Khost : Wilayat - Province,8785,0.07,0.29,0.19,0.54,0.42,0.04,0.47,0.47,0.44,0.46,0.52,0.38,..,0.48,8785,1.0,1.0
Afghanistan,R,Individual accomm.,Kunar : Wilayat - Province,52393,0.11,0.29,0.18,0.57,0.4,0.03,0.5,0.48,0.48,0.48,0.5,0.35,..,0.49,52393,1.0,1.0
Afghanistan,R,Individual accomm.,Kunduz : Wilayat - Province,65228,0.1,0.31,0.16,0.57,0.4,0.03,0.49,0.49,0.48,0.49,0.51,0.39,..,0.49,65228,1.0,1.0
Afghanistan,R,Individual accomm.,Laghman : Wilayat - Province,58268,0.1,0.3,0.18,0.57,0.4,0.02,0.51,0.49,0.47,0.49,0.5,0.36,..,0.49,58268,1.0,1.0
Afghanistan,R,Individual accomm.,Logar : Wilayat - Province,35257,0.07,0.3,0.18,0.55,0.42,0.03,0.49,0.49,0.49,0.49,0.53,0.37,..,0.5,35257,1.0,1.0
Afghanistan,R,Individual accomm.,Nimroz : Wilayat - Province,573,0.1,0.25,0.16,0.52,0.44,0.05,0.33,0.43,0.49,0.43,0.45,0.38,..,0.44,573,1.0,1.0
Afghanistan,R,Individual accomm.,Paktika : Wilayat - Province,2384,0.05,0.36,0.16,0.57,0.4,0.02,0.49,0.48,0.46,0.47,0.49,0.39,..,0.48,2384,1.0,1.0
Afghanistan,R,Individual accomm.,Paktya : Wilayat - Province,31125,0.09,0.28,0.18,0.55,0.42,0.04,0.48,0.5,0.48,0.49,0.55,0.34,..,0.51,31125,1.0,1.0
Afghanistan,R,Individual accomm.,Parwan : Wilayat - Province,12687,0.09,0.26,0.17,0.52,0.45,0.02,0.49,0.48,0.48,0.48,0.48,0.34,..,0.48,12687,1.0,1.0
Afghanistan,R,Individual accomm.,Samangan : Wilayat - Province,3661,0.11,0.29,0.15,0.55,0.42,0.03,0.49,0.49,0.51,0.5,0.5,0.59,..,0.5,3661,1.0,1.0
Afghanistan,R,Individual accomm.,Sari Pul : Wilayat - Province,8275,0.11,0.26,0.16,0.53,0.42,0.04,0.53,0.51,0.55,0.53,0.51,0.6,..,0.52,8275,1.0,1.0
Afghanistan,R,Individual accomm.,Takhar : Wilayat - Province,11645,0.11,0.28,0.15,0.53,0.44,0.03,0.5,0.49,0.48,0.49,0.46,0.36,..,0.47,11645,1.0,1.0
Afghanistan,R,Individual accomm.,Uruzgan : Wilayat - Province,1146,0.11,0.36,0.13,0.6,0.37,0.03,0.56,0.52,0.47,0.52,0.48,0.39,..,0.5,1146,1.0,1.0
Afghanistan,R,Individual accomm.,Wardak : Wilayat - Province,7167,0.07,0.23,0.18,0.48,0.49,0.03,0.51,0.48,0.49,0.49,0.51,0.29,..,0.49,7167,1.0,1.0
Afghanistan,R,Individual accomm.,Zabul : Wilayat - Province,3801,0.09,0.35,0.15,0.59,0.38,0.03,0.49,0.48,0.44,0.47,0.5,0.29,..,0.48,3801,1.0,1.0
Afghanistan,R,Settlement,Badghis : Wilayat - Province,4513,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.38,..,0.5,4513,1.0,1.0
Afghanistan,R,Settlement,Balkh : Wilayat - Province,978,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.51,0.36,..,0.5,978,1.0,1.0
Afghanistan,R,Settlement,Faryab : Wilayat - Province,22897,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,22897,1.0,1.0
Afghanistan,R,Settlement,Ghor : Wilayat - Province,9494,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,9494,1.0,1.0
Afghanistan,R,Settlement,Hirat : Wilayat - Province,28895,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,28895,1.0,1.0
Afghanistan,R,Settlement,Kabul : Wilayat - Province,852,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.52,0.5,0.52,0.38,..,0.51,852,1.0,1.0
Afghanistan,R,Settlement,Kapisa : Wilayat - Province,1122,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.51,0.38,..,0.5,1122,1.0,1.0
Afghanistan,R,Settlement,Kunar : Wilayat - Province,16585,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,16585,1.0,1.0
Afghanistan,R,Settlement,Laghman : Wilayat - Province,4725,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,4725,1.0,1.0
Afghanistan,R,Settlement,Logar : Wilayat - Province,1014,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.52,0.38,..,0.5,1014,1.0,1.0
Afghanistan,R,Settlement,Nangarhar : Wilayat - Province,43619,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,43619,1.0,1.0
Afghanistan,R,Settlement,Uruzgan : Wilayat - Province,3350,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,3350,1.0,1.0
Afghanistan,R,Settlement,Wardak : Wilayat - Province,7800,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,7800,1.0,1.0
Afghanistan,R,Undefined,Farah : Wilayat - Province,12692,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,12692,1.0,1.0
Afghanistan,R,Undefined,Ghazni : Wilayat - Province,2400,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,2400,1.0,1.0
Afghanistan,R,Undefined,Kunar : Wilayat - Province,750,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.51,0.38,..,0.5,750,1.0,1.0
Afghanistan,U,Individual accomm.,Balkh : Wilayat - Province,17508,0.1,0.25,0.15,0.5,0.46,0.04,0.49,0.49,0.48,0.49,0.5,0.4,..,0.49,17508,1.0,1.0
Afghanistan,U,Individual accomm.,Hirat : Wilayat - Province,14307,0.09,0.16,0.13,0.39,0.58,0.03,0.45,0.48,0.53,0.49,0.43,0.36,..,0.45,14307,1.0,1.0
Afghanistan,U,Individual accomm.,Kabul : Wilayat - Province,145537,0.08,0.25,0.17,0.5,0.46,0.03,0.49,0.49,0.48,0.48,0.52,0.38,..,0.5,145537,1.0,1.0
Afghanistan,U,Individual accomm.,Kandahar : Wilayat - Province,35697,0.11,0.34,0.15,0.6,0.37,0.03,0.5,0.49,0.44,0.48,0.5,0.42,..,0.48,35697,1.0,1.0
Afghanistan,U,Individual accomm.,Nangarhar : Wilayat - Province,390306,0.08,0.32,0.18,0.58,0.4,0.02,0.5,0.49,0.48,0.49,0.5,0.4,..,0.49,390306,1.0,1.0
Afghanistan,U,Settlement,Farah : Wilayat - Province,5448,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,5448,1.0,1.0
Afghanistan,U,Settlement,Faryab : Wilayat - Province,2222,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.38,..,0.5,2222,1.0,1.0
Afghanistan,U,Settlement,Ghazni : Wilayat - Province,8400,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,8400,1.0,1.0
Afghanistan,U,Settlement,Ghor : Wilayat - Province,2818,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.51,0.37,..,0.5,2818,1.0,1.0
Afghanistan,U,Settlement,Hilmand : Wilayat - Province,21444,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,21444,1.0,1.0
Afghanistan,U,Settlement,Hirat : Wilayat - Province,10141,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.38,..,0.5,10141,1.0,1.0
Afghanistan,U,Settlement,Jawzjan : Wilayat - Province,8787,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,8787,1.0,1.0
Afghanistan,U,Settlement,Kabul : Wilayat - Province,1500,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,1500,1.0,1.0
Afghanistan,U,Settlement,Kandahar : Wilayat - Province,49296,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,49296,1.0,1.0
Afghanistan,U,Settlement,Khost : Wilayat - Province,8284,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,8284,1.0,1.0
Afghanistan,U,Settlement,Kunduz : Wilayat - Province,4594,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,4594,1.0,1.0
Afghanistan,U,Settlement,Nangarhar : Wilayat - Province,19998,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,19998,1.0,1.0
Afghanistan,U,Settlement,Nuristan : Wilayat - Province,3520,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,3520,1.0,1.0
Afghanistan,U,Settlement,Paktika : Wilayat - Province,2542,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,2542,1.0,1.0
Afghanistan,U,Settlement,Parwan : Wilayat - Province,1158,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.52,0.36,..,0.5,1158,1.0,1.0
Afghanistan,U,Settlement,Sari Pul : Wilayat - Province,6654,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,6654,1.0,1.0
Afghanistan,U,Settlement,Uruzgan : Wilayat - Province,17399,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,17399,1.0,1.0
Afghanistan,U,Settlement,Zabul : Wilayat - Province,8976,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,8976,1.0,1.0
Afghanistan,U,Undefined,Badghis : Wilayat - Province,2349,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.36,..,0.5,2349,1.0,1.0
Afghanistan,U,Undefined,Hilmand : Wilayat - Province,35542,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,35542,1.0,1.0
Afghanistan,U,Undefined,Hirat : Wilayat - Province,40446,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,40446,1.0,1.0
Afghanistan,U,Undefined,Kandahar : Wilayat - Province,18714,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,18714,1.0,1.0
Afghanistan,U,Undefined,Laghman : Wilayat - Province,865,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.51,0.51,0.5,0.52,0.38,..,0.51,865,1.0,1.0
Afghanistan,V,Undefined,Day Kundi : Wolaswalei - District,965,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.51,0.37,..,0.5,965,1.0,1.0
Afghanistan,V,Undefined,Faryab : Wilayat - Province,10008,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,10008,1.0,1.0
Afghanistan,V,Undefined,Ghazni : Wilayat - Province,3600,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,3600,1.0,1.0
Afghanistan,V,Undefined,Hilmand : Wilayat - Province,16982,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,16982,1.0,1.0
Afghanistan,V,Undefined,Kabul : Wilayat - Province,6978,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,6978,1.0,1.0
Afghanistan,V,Undefined,Kandahar : Wilayat - Province,1824,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,1824,1.0,1.0
Afghanistan,V,Undefined,Kapisa : Wilayat - Province,2400,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,2400,1.0,1.0
Afghanistan,V,Undefined,Khost : Wilayat - Province,5468,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,5468,1.0,1.0
Afghanistan,V,Undefined,Paktika : Wilayat - Province,714,0.14,0.19,0.15,0.49,0.48,0.03,0.49,0.5,0.51,0.5,0.52,0.38,..,0.51,714,1.0,1.0
Afghanistan,V,Undefined,Parwan : Wilayat - Province,792,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.51,0.36,..,0.5,792,1.0,1.0
Afghanistan,V,Undefined,Takhar : Wilayat - Province,1224,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,1224,1.0,1.0
Afghanistan,V,Undefined,Uruzgan : Wilayat - Province,18856,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,18856,1.0,1.0
Afghanistan,V,Undefined,Wardak : Wilayat - Province,4470,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.5,0.51,0.5,0.52,0.37,..,0.5,4470,1.0,1.0
Algeria,U,Undefined,Algeria : Dispersed in the country / territory,816,0.08,0.02,0.02,0.11,0.88,0.01,0.49,0.47,0.43,0.48,0.25,0,..,0.28,816,1.0,1.0
Algeria1,V,Camp,Tindouf : Daïra - District,90000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90000,0.0,0.0
Algeria,V,Undefined,Algeria : Dispersed in the country / territory,4005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4005,0.0,0.0
Angola,R,Undefined,Bengo : Provincia,636,..,..,..,..,..,..,..,..,..,..,..,..,..,..,636,0.0,0.0
Angola,R,Undefined,Huambo : Provincia,865,..,..,..,..,..,..,..,..,..,..,..,..,..,..,865,0.0,0.0
Angola,R,Undefined,Lunda Norte : Provincia,601,..,..,..,..,..,..,..,..,..,..,..,..,..,..,601,0.0,0.0
Angola,R,Undefined,Lunda Sul : Provincia,1680,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1680,0.0,0.0
Angola,R,Undefined,Malanje : Provincia,878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,878,0.0,0.0
Angola,R,Undefined,Moxico : Provincia,4337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4337,0.0,0.0
Angola,R,Undefined,Zaire : Provincia,1285,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1285,0.0,0.0
Angola,U,Undefined,Luanda : Provincia,12323,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12323,0.0,0.0
Argentina,U,Individual accomm.,Argentina : Dispersed in the country / territory,2423,0.02,0.04,0.07,0.13,0.84,0.03,0.51,0.55,0.34,0.43,0.32,0.59,..,0.34,2423,1.0,1.0
Armenia,U,Centre,Yerevan : Point,3081,0.05,0.08,0.12,0.25,0.63,0.12,0.4,0.49,0.5,0.48,0.46,0.58,..,0.48,3081,0.32,0.32
Armenia,U,Undefined,Yerevan : Point,598,0,0,0,0,0.7,0.3,0,1,..,0.5,0.48,0.66,..,0.53,598,1.0,1.0
Armenia,V,Centre,Kotayk : Marz - Province,900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,900,0.0,0.0
Australia,V,Undefined,Australia : Dispersed in the country / territory,28676,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28676,0.0,0.0
Azerbaijan,R,Undefined,Azerbaijan : Dispersed in the country / territory,599192,0.09,0.12,0.12,0.33,0.55,0.11,0.5,0.52,0.51,0.51,0.51,0.5,..,0.51,599192,1.0,1.0
Azerbaijan,U,Individual accomm.,Baku : Point,1793,0.11,0.17,0.11,0.38,0.59,0.03,0.49,0.49,0.46,0.48,0.41,0.58,..,0.44,1793,1.0,1.0
Bangladesh,R,Camp,Kutupalong : Point,11706,0.16,0.23,0.18,0.58,0.4,0.02,0.49,0.49,0.5,0.49,0.53,0.52,..,0.51,11706,1.0,1.0
Bangladesh,R,Camp,Nayapara : Point,17729,0.14,0.25,0.19,0.57,0.41,0.02,0.51,0.49,0.51,0.5,0.55,0.48,..,0.52,17729,1.0,1.0
Bangladesh,V,Undefined,Cox's Bazar,200000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200000,0.0,0.0
Belarus,V,Undefined,Belarus : Dispersed in the country / territory,7391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7391,0.0,0.0
Belgium,U,Undefined,Belgium : Dispersed in the country / territory,39886,..,..,..,..,..,..,..,..,..,..,..,..,0.42,0.42,39886,0.0,0.56
Benin,R,Camp,Agame : Point,2828,0.17,0.18,0.12,0.47,0.52,0.01,0.48,0.45,0.51,0.48,0.43,0.67,..,0.46,2828,1.0,1.0
Benin,U,Individual accomm.,Cotonou : Departement,4547,0.11,0.12,0.09,0.32,0.67,0.01,0.52,0.47,0.53,0.5,0.34,0.55,..,0.4,4547,1.0,1.0
Bosnia and Herzegovina,V,Undefined,Bosnia and Herzegovina : Dispersed in the country / territory,59297,0,0.04,0.07,0.12,0.71,0.18,0.4,0.45,0.55,0.51,0.5,0.48,0.49,0.49,59297,0.11,1.0
Bosnia and Herzegovina,V,Undefined,Federacija Bosne I Hercegovine : Entity,3276,0.06,0.16,0.15,0.37,0.58,0.05,0.88,0.3,0.59,0.51,0.51,0.29,0.49,0.49,3276,0.04,1.0
Bosnia and Herzegovina,V,Undefined,Republika Srpska : Entity,66474,0.02,0.07,0.07,0.16,0.63,0.21,0.51,0.5,0.49,0.49,0.49,0.56,0.49,0.5,66474,0.97,1.0
Botswana,R,Camp,Dukwi : Point,3558,0.12,0.16,0.11,0.38,0.6,0.02,0.5,0.48,0.55,0.51,0.28,0.46,..,0.37,3558,1.0,1.0
Brazil,U,Individual accomm.,Amazonas : Estado - State,537,0,0,0.01,0.01,0.99,0,..,0,0.75,0.5,0.2,0,..,0.2,537,1.0,1.0
Brazil,U,Individual accomm.,Brazil : Dispersed in the country / territory,3641,0,0.01,0.03,0.04,0.95,0,0.56,0.46,0.31,0.37,0.02,0.14,..,0.04,3641,1.0,1.0
Brazil,U,Individual accomm.,Rio De Janeiro : Estado - State,2106,0.01,0.02,0.02,0.05,0.94,0.02,0.38,0.55,0.48,0.49,0.27,0.35,..,0.28,2106,1.0,1.0
Brazil,U,Individual accomm.,Sao Paulo : Estado - State,1998,0.01,0.03,0.03,0.07,0.91,0.02,0.54,0.55,0.46,0.5,0.23,0.45,..,0.25,1998,1.0,1.0
Bulgaria,U,Centre,Bulgaria : Dispersed in the country / territory,5512,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5512,0.0,0.0
Bulgaria,U,Centre,Sofia : Point,890,0,0.03,0.13,0.16,0.84,0,..,0,0,0,0.14,..,..,0.12,890,1.0,1.0
Burkina Faso,U,Individual accomm.,Ouagadougou : Point,1211,0.07,0.11,0.1,0.28,0.71,0.01,0.67,0.56,0.52,0.57,0.31,0.4,..,0.38,1211,1.0,1.0
Burundi,R,Camp,Bwagiriza : Point,6159,0.21,0.22,0.15,0.58,0.4,0.02,0.49,0.48,0.51,0.49,0.53,0.58,..,0.51,6159,1.0,1.0
Burundi,R,Camp,Gasorwe : Commune,9743,0.18,0.27,0.15,0.6,0.38,0.02,0.49,0.51,0.49,0.5,0.56,0.63,..,0.52,9743,1.0,1.0
Burundi,R,Camp,Musasa : Point,6330,0.18,0.27,0.15,0.61,0.38,0.01,0.51,0.49,0.48,0.49,0.53,0.69,..,0.51,6330,1.0,1.0
Burundi,U,Individual accomm.,Bujumbura : Point,23485,0.11,0.22,0.18,0.51,0.47,0.02,0.5,0.49,0.51,0.5,0.54,0.58,..,0.52,23485,1.0,1.0
Burundi,V,Individual accomm.,Burundi : Dispersed in the country / territory,84224,0.22,0.26,0.11,0.59,0.39,0.02,0.5,0.51,0.52,0.51,0.59,0.53,0.53,0.53,84224,0.06,1.0
Cameroon,R,Camp,Langui : Point,3747,0.13,0.24,0.14,0.5,0.46,0.04,0.48,0.51,0.53,0.51,0.48,0.62,..,0.5,3747,1.0,1.0
Cameroon,R,Individual accomm.,Bafouck,646,0.16,0.25,0.15,0.56,0.41,0.03,0.49,0.59,0.49,0.53,0.49,0.33,..,0.51,646,1.0,1.0
Cameroon,R,Individual accomm.,Bagodo,1605,0.15,0.32,0.18,0.65,0.32,0.03,0.43,0.49,0.47,0.47,0.63,0.24,..,0.52,1605,1.0,1.0
Cameroon,R,Individual accomm.,Batoua Godole,2638,0.16,0.3,0.16,0.61,0.36,0.03,0.51,0.49,0.5,0.5,0.62,0.42,..,0.54,2638,1.0,1.0
Cameroon,R,Individual accomm.,Bazzama,785,0.16,0.29,0.16,0.61,0.37,0.03,0.47,0.52,0.5,0.5,0.62,0.35,..,0.54,785,1.0,1.0
Cameroon,R,Individual accomm.,Bedobo,618,0.12,0.26,0.17,0.55,0.44,0.01,0.43,0.55,0.61,0.54,0.57,0.44,..,0.56,618,1.0,1.0
Cameroon,R,Individual accomm.,Borgop,514,0.17,0.31,0.16,0.64,0.32,0.03,0.47,0.55,0.51,0.52,0.59,0.75,..,0.55,514,1.0,1.0
Cameroon,R,Individual accomm.,Boubara,791,0.12,0.23,0.17,0.52,0.44,0.04,0.42,0.52,0.55,0.51,0.54,0.33,..,0.52,791,1.0,1.0
Cameroon,R,Individual accomm.,Boulembe,843,0.16,0.3,0.18,0.64,0.33,0.03,0.55,0.52,0.57,0.54,0.58,0.54,..,0.56,843,1.0,1.0
Cameroon,R,Individual accomm.,Bouli,681,0.17,0.23,0.19,0.59,0.4,0.02,0.64,0.53,0.52,0.56,0.61,0.42,..,0.57,681,1.0,1.0
Cameroon,R,Individual accomm.,Dakere Babongo,591,0.17,0.31,0.17,0.65,0.32,0.03,0.48,0.46,0.51,0.48,0.63,0.4,..,0.52,591,1.0,1.0
Cameroon,R,Individual accomm.,Dang Patou,583,0.17,0.25,0.15,0.56,0.42,0.02,0.46,0.5,0.6,0.52,0.58,0.46,..,0.54,583,1.0,1.0
Cameroon,R,Individual accomm.,Dir,630,0.15,0.3,0.17,0.62,0.35,0.02,0.48,0.5,0.52,0.5,0.59,0.27,..,0.53,630,1.0,1.0
Cameroon,R,Individual accomm.,Djalingo,568,0.16,0.3,0.16,0.61,0.36,0.03,0.52,0.45,0.4,0.46,0.62,0.56,..,0.52,568,1.0,1.0
Cameroon,R,Individual accomm.,Djohong,539,0.2,0.24,0.15,0.59,0.38,0.03,0.54,0.52,0.59,0.54,0.54,0.43,..,0.54,539,1.0,1.0
Cameroon,R,Individual accomm.,Gado Badzere,746,0.15,0.27,0.2,0.62,0.34,0.04,0.49,0.49,0.51,0.49,0.6,0.45,..,0.53,746,1.0,1.0
Cameroon,R,Individual accomm.,Garga Libona,1483,0.18,0.28,0.15,0.62,0.36,0.02,0.5,0.47,0.51,0.49,0.61,0.44,..,0.53,1483,1.0,1.0
Cameroon,R,Individual accomm.,Garga Sarali,953,0.16,0.25,0.15,0.56,0.41,0.03,0.41,0.44,0.46,0.43,0.53,0.56,..,0.47,953,1.0,1.0
Cameroon,R,Individual accomm.,Gargapela,859,0.16,0.32,0.16,0.64,0.34,0.03,0.51,0.49,0.53,0.51,0.63,0.43,..,0.55,859,1.0,1.0
Cameroon,R,Individual accomm.,Garoua-Boulai,6646,0.13,0.28,0.19,0.61,0.37,0.03,0.5,0.49,0.5,0.49,0.61,0.44,..,0.53,6646,1.0,1.0
Cameroon,R,Individual accomm.,Gbiti,6367,0.12,0.25,0.16,0.54,0.43,0.03,0.48,0.5,0.5,0.5,0.56,0.29,..,0.52,6367,1.0,1.0
Cameroon,R,Individual accomm.,Goro,747,0.17,0.31,0.15,0.63,0.34,0.03,0.48,0.53,0.5,0.51,0.56,0.43,..,0.53,747,1.0,1.0
Cameroon,R,Individual accomm.,Guiwa Yangamo,772,0.15,0.25,0.19,0.59,0.37,0.04,0.44,0.53,0.46,0.49,0.6,0.45,..,0.53,772,1.0,1.0
Cameroon,R,Individual accomm.,Kenzou,3002,0.13,0.29,0.17,0.59,0.38,0.03,0.49,0.49,0.56,0.51,0.63,0.43,..,0.55,3002,1.0,1.0
