Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Liberia,R,Individual accomm.,Grand Gedeh : County,43941,0.21,0.28,0.13,0.61,0.35,0.04,0.51,0.46,0.41,0.47,0.58,0.65,..,0.51,43941,1.0,1.0
Liberia,R,Individual accomm.,Maryland : County,9746,0.2,0.3,0.19,0.69,0.29,0.02,0.48,0.46,0.54,0.49,0.52,0.66,..,0.5,9746,1.0,1.0
Liberia,R,Individual accomm.,Montserrado : County,822,0.12,0.16,0.19,0.47,0.49,0.04,0.33,0.4,0.46,0.4,0.46,0.58,..,0.44,822,1.0,1.0
Liberia,R,Individual accomm.,Garmue,564,0.21,0.3,0.22,0.73,0.22,0.05,0.49,0.48,0.71,0.55,0.71,0.73,..,0.6,564,1.0,1.0
Liberia,R,Individual accomm.,Nimba : County,37999,0.2,0.27,0.11,0.58,0.38,0.04,0.5,0.49,0.46,0.49,0.63,0.66,..,0.55,37999,1.0,1.0
Liberia,R,Individual accomm.,River Ghee : County,4402,0.24,0.11,0.36,0.7,0.28,0.02,0.48,0.46,0.62,0.55,0.5,0.61,..,0.53,4402,1.0,1.0
Liberia,U,Individual accomm.,Montserrado : County,2227,0.09,0.08,0.09,0.26,0.72,0.01,0.56,0.53,0.54,0.55,0.33,0.4,0,0.07,2227,0.17,1.0
Libya,U,Camp,Bani Walid,22692,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22692,0.0,0.0
Libya,U,Camp,Misrata,10716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10716,0.0,0.0
Libya,U,Camp,Nalut,1403,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1403,0.0,0.0
Libya,U,Camp,Sirte,19554,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19554,0.0,0.0
Libya,U,Camp,Tewargha,30000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30000,0.0,0.0
Libya,U,Camp,Western Mountains,9200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9200,0.0,0.0
Libya,U,Centre,Tripoli : Point,10435,0.05,0.1,0.11,0.26,0.69,0.05,0.47,0.48,0.48,0.48,0.38,0.32,..,0.41,10435,1.0,1.0
Libya,U,Undefined,Tripoli : Point,2590,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2590,0.0,0.0
Lithuania,U,Individual accomm.,Lithuania : Dispersed in the country / territory,3480,0.01,0,0.01,0.02,0.74,0.24,0.58,0.58,0.59,0.59,0.6,0.5,..,0.58,3480,1.0,1.0
Lithuania,V,Individual accomm.,Lithuania : Dispersed in the country / territory,759,..,..,..,..,..,..,..,..,..,..,..,..,..,..,759,0.0,0.0
Luxembourg,U,Undefined,Luxembourg,1694,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1694,0.0,0.0
Malawi,R,Camp,Dzaleka : Point,16853,0.16,0.21,0.15,0.52,0.47,0.01,0.48,0.5,0.45,0.48,0.4,0.55,..,0.44,16853,1.0,1.0
Malaysia,R,Undefined,Sabah : Negeri - State,80000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80000,0.0,0.0
Malaysia,U,Undefined,Kuala Lumpur : Wilayah Persekutuan - Federal State,97618,0.09,0.06,0.05,0.2,0.79,0.01,0.49,0.48,0.44,0.48,0.25,0.41,..,0.3,97618,1.0,1.0
Malaysia,V,Undefined,Kuala Lumpur : Wilayah Persekutuan - Federal State,40000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40000,0.0,0.0
Mali,U,Individual accomm.,Bamako : Point,5722,0.07,0.08,0.1,0.25,0.74,0.01,0.48,0.43,0.48,0.47,0.31,0.35,..,0.35,5722,1.0,1.0
Mali,V,Individual accomm.,Kayes : Point,12345,0.22,0.27,0.17,0.66,0.31,0.03,0.47,0.49,0.49,0.48,0.48,0.43,..,0.48,12345,1.0,1.0
Malta,U,Centre,Marsa Open Centre,670,..,..,..,..,..,..,..,..,..,..,..,..,..,..,670,0.0,0.0
Malta,U,Individual accomm.,Malta : Dispersed in the country / territory,1000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000,0.0,0.0
Malta,V,Centre,Safi Barracks,608,..,..,..,..,..,..,..,..,..,..,..,..,..,..,608,0.0,0.0
Mauritania,R,Individual accomm.,Mauritania : Dispersed in the country / territory,1367,0.22,0.28,0.13,0.63,0.34,0.03,0.43,0.54,0.58,0.51,0.59,0.52,..,0.54,1367,1.0,1.0
Mauritania,U,Individual accomm.,Nouakchott/Nouadhibou : Point,817,0.14,0.13,0.08,0.35,0.65,0,0.51,0.64,0.38,0.53,0.29,0.5,..,0.37,817,1.0,1.0
Mauritania,V,Undefined,Mauritania : Dispersed in the country / territory,26000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26000,0.0,0.0
Mexico,U,Individual accomm.,Mexico City : Point,1395,0.01,0.04,0.11,0.15,0.79,0.05,0.56,0.52,0.44,0.47,0.31,0.39,..,0.34,1395,1.0,1.0
Mexico,V,Undefined,Mexico : Dispersed in the country / territory,631,..,..,..,..,..,..,..,..,..,..,..,..,..,..,631,0.0,0.0
Montenegro,V,Camp,Podgorica : Opština - Municipality,1462,0.18,0.25,0.16,0.59,0.38,0.03,0.56,0.51,0.62,0.56,0.45,0.57,..,0.51,1462,1.0,1.0
Montenegro,V,Individual accomm.,Bar : Opština - Municipality,2040,0.03,0.06,0.1,0.2,0.6,0.2,0.37,0.51,0.47,0.47,0.5,0.55,..,0.5,2040,0.75,0.75
Montenegro,V,Individual accomm.,Berane : Opština - Municipality,1542,0.06,0.11,0.15,0.31,0.54,0.15,0.48,0.42,0.57,0.5,0.48,0.61,..,0.51,1542,0.93,0.93
